Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,Taylor Raddysh (26069888),Taylor Raddysh,26069888,W/UTIL,3000,CHI@CAR 12/27/2022 07:00PM ET,CHI,6.05
D,Caleb Jones (26070418),Caleb Jones,26070418,D/UTIL,3000,CHI@CAR 12/27/2022 07:00PM ET,CHI,6.31
RW,Yegor Chinakhov (26069890),Yegor Chinakhov,26069890,W/UTIL,3000,BUF@CLS 12/27/2022 07:30PM ET,CLS,5.77
LW,JJ Peterka (26069896),JJ Peterka,26069896,W/UTIL,3000,BUF@CLS 12/27/2022 07:30PM ET,BUF,5.53
D,Jake Bean (26070420),Jake Bean,26070420,D/UTIL,3000,BUF@CLS 12/27/2022 07:30PM ET,CLS,6.49
D,Justin Holl (26070428),Justin Holl,26070428,D/UTIL,3000,TOR@STL 12/27/2022 08:00PM ET,TOR,5.15
C,Wyatt Johnston (26069546),Wyatt Johnston,26069546,C/UTIL,3000,DAL@NSH 12/27/2022 08:00PM ET,DAL,6.49
C,Connor Dewar (26069548),Connor Dewar,26069548,C/UTIL,3000,MIN@WPG 12/27/2022 08:00PM ET,MIN,5.02
LW,Brandon Duhaime (26069898),Brandon Duhaime,26069898,W/UTIL,3000,MIN@WPG 12/27/2022 08:00PM ET,MIN,5.04
D,Nate Schmidt (26070426),Nate Schmidt,26070426,D/UTIL,3000,MIN@WPG 12/27/2022 08:00PM ET,WPG,5.83
D,Oliver Ekman-Larsson (26070422),Oliver Ekman-Larsson,26070422,D/UTIL,3000,SJ@VAN 12/27/2022 10:00PM ET,VAN,6.33
D,Nikita Zaitsev (26070444),Nikita Zaitsev,26070444,D/UTIL,2900,BOS@OTT 12/27/2022 07:00PM ET,OTT,4.48
RW,Kaapo Kakko (26069910),Kaapo Kakko,26069910,W/UTIL,2900,WAS@NYR 12/27/2022 07:00PM ET,NYR,6.33
C,Jordan Staal (26069550),Jordan Staal,26069550,C/UTIL,2900,CHI@CAR 12/27/2022 07:00PM ET,CAR,6.58
LW,Philipp Kurashev (26069902),Philipp Kurashev,26069902,W/UTIL,2900,CHI@CAR 12/27/2022 07:00PM ET,CHI,5.78
D,Connor Murphy (26070434),Connor Murphy,26070434,D/UTIL,2900,CHI@CAR 12/27/2022 07:00PM ET,CHI,6.48
RW,Jakub Voracek (26069904),Jakub Voracek,26069904,W/UTIL,2900,BUF@CLS 12/27/2022 07:30PM ET,CLS,6.19
D,Kale Clague (26070442),Kale Clague,26070442,D/UTIL,2900,BUF@CLS 12/27/2022 07:30PM ET,BUF,3.51
RW,Kasperi Kapanen (26069908),Kasperi Kapanen,26069908,W/UTIL,2900,PIT@NYI 12/27/2022 07:30PM ET,PIT,6.26
D,Jake Muzzin (26070440),Jake Muzzin,26070440,D/UTIL,2900,TOR@STL 12/27/2022 08:00PM ET,TOR,8.25
D,Ryan Suter (26070446),Ryan Suter,26070446,D/UTIL,2900,DAL@NSH 12/27/2022 08:00PM ET,DAL,5.81
LW,Alex Newhook (26069900),Alex Newhook,26069900,W/UTIL,2900,COL@ARI 12/27/2022 09:00PM ET,COL,5.26
D,Samuel Girard (26070432),Samuel Girard,26070432,D/UTIL,2900,COL@ARI 12/27/2022 09:00PM ET,COL,6.12
C,Nico Sturm (26069552),Nico Sturm,26069552,C/UTIL,2900,SJ@VAN 12/27/2022 10:00PM ET,SJ,6.81
LW,Alex Iafallo (26069906),Alex Iafallo,26069906,W/UTIL,2900,VGK@LA 12/27/2022 10:30PM ET,LA,7.71
D,Nicolas Hague (26070436),Nicolas Hague,26070436,D/UTIL,2900,VGK@LA 12/27/2022 10:30PM ET,VGK,5.91
D,Zach Whitecloud (26070438),Zach Whitecloud,26070438,D/UTIL,2900,VGK@LA 12/27/2022 10:30PM ET,VGK,5.64
D,Erik Brannstrom (26070462),Erik Brannstrom,26070462,D/UTIL,2800,BOS@OTT 12/27/2022 07:00PM ET,OTT,5.04
